"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16"
"result.11" 0.0501075140336396 0.126953319603601 0.0175368394260588 0.0540521485682776 0.282490797742948 0.136978023443124 0.117980514973436 0.028353514102372 0.00774678461981717 0.0147282865857255 0.00431310407610613 0.0148567937707476 0.0165519201488 0.0101129738163869 0.0115901838598848 0.00393788554348073
"result.12" 0.04406034722632 0.143694718367764 0.0107207796290988 0.054636744304314 0.355728227124056 0.188436606328702 0.172722490978975 0.0450579585966201 0.00555972915071071 0.0129551214249579 0.00246783177131388 0.0138109282551585 0.01604563716534 0.0120821704401471 0.0136461856119456 0.00619992343677457
"result.13" 0.22512277675292 0.235349609236727 0.0293921078921079 0.0277622655122655 0.395827619914198 0.354978886882441 0.164074170567747 0.134624113283624 0.0138858484096619 0.013925026266539 0.0114887900025362 0.00881520295264046 0.015108733159642 0.0138532252865092 0.0121878561378291 0.0111297628675865
"result.14" 0.207884883956894 0.217430573361569 0.0308886015944839 0.0340590659340659 0.502535370583829 0.463900568418113 0.262437315935719 0.212519694435361 0.0111958680966501 0.0131813906107315 0.00699197042472543 0.00777104706406016 0.014354141918556 0.0129979153997604 0.0152904728453726 0.0130739917100293
"result.15" 0.17662662243161 0.204866158195288 0.0186162032412032 0.0386140676488974 0.59621722650494 0.550513023642175 0.358471923438442 0.288053605569531 0.0105315101440387 0.012932272835228 0.00462839576403136 0.00985499936022684 0.0127935846719619 0.0124142897970939 0.0124930178582771 0.0133530716924089
"result.16" 0.178844073633959 0.209943856950039 0.0206982364041188 0.0296527734821078 0.648967283195267 0.630280334629515 0.429636027421632 0.39523075758353 0.00966956950597266 0.011289102770143 0.00435088288900713 0.00617622130809603 0.0119123965541091 0.0112722864277919 0.0156299845048804 0.0141973715511289
"result.17" 0.183456284012514 0.213599585320507 0.0239997055019434 0.0366844121631946 0.683034411493321 0.666646189613835 0.481247385762742 0.452572938120603 0.0105475712261132 0.0111506842150533 0.00442856185958075 0.00538008738852631 0.0129749091222947 0.0119131037281919 0.0148923388165051 0.0115783310456114
"result.18" 0.191223546248616 0.226850260401931 0.0242193989921477 0.0392612255051749 0.734616292601501 0.722474693508975 0.546203382385876 0.515508202618323 0.00958228878578434 0.0110467018447206 0.00405061522893036 0.00660121655858247 0.0109818305380979 0.0107542249470962 0.0135305246821433 0.0127466927586369
"result.19" 0.118198759739335 0.260397824409846 0.0214221396420966 0.0920756334963784 0.496370014929304 0.349288056222744 0.292483376845655 0.116114216475071 0.00595440943322825 0.0124677495799314 0.00280745397874683 0.0134730688332563 0.00954954666257311 0.00712864102215154 0.00997796299013235 0.00675447709607084
"result.20" 0.111559316649314 0.275892653536962 0.0245057502699369 0.1329761386806 0.595761628870912 0.464344696712334 0.402979279901233 0.215965401590899 0.00475085515821019 0.0130581711759024 0.00266109817608178 0.0148424020562373 0.00871196828847624 0.00684536066329128 0.0105235090504401 0.008105438337809
"result.21" 0.102406052144137 0.276438687316144 0.0218602559646987 0.14502395170488 0.66121447620155 0.549531823543947 0.49175648160696 0.315774453618131 0.00400489134294572 0.0128186853887541 0.00206286236252106 0.0143569835844588 0.00693462074516562 0.00733607180092496 0.00877471933430817 0.00824728824831658
"result.22" 0.117347393489968 0.289160642182932 0.0281503803180743 0.137877950064312 0.680777621636439 0.597686432828926 0.529009625488002 0.385127626403284 0.00463063818168824 0.0114194451888928 0.00231681556782997 0.0119577870034724 0.00724389846383025 0.00619324079715039 0.00888586639831937 0.00898386818982604
