"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24" "V25" "V26" "V27" "V28" "V29" "V30" "V31" "V32" "V33" "V34" "V35" "V36" "V37" "V38" "V39" "V40" "V41" "V42" "V43" "V44"
"result.12" 0.0453450229635527 0.0360695841053707 0.0451014279266707 0.00381499878403903 0.156882492014803 0.675054735076072 0.115927192139526 0.636582571591599 0.046487574829654 0.0357131774359261 0.0375321999806653 0.417373192620152 0.512837976943458 0.496256242599306 0.13398991371075 0.611923014033047 0.233226200824718 0.307243230666669 0.673325464602916 0.339814445785882 0.174302073484772 0.187018269444788 0.00581862027198193 0.00304804944430458 0.00355753560329155 0.00154228650499161 0.00520445247690986 0.0180985723910669 0.00638163427145861 0.00437986445482311 0.00363472443997546 0.00506243521393669 0.00539403110686523 0.0129511690641325 0.00679714497788484 0.00662686949891629 0.00414403311126571 0.00669371252002022 0.0119349053104537 0.00786070622488194 0.00576220771859712 0.00581661192403588 0.00973977244703275 0.0107379554477724
"result.13" 0.0599718147349726 0.0396758330678609 0.0307459452312393 0 0.305156232726351 0.735283606174438 0.025390155166471 0.831950287885976 0.0403689336978811 0.0451432178932179 0.0521554834054834 0.400257118408833 0.420695050916074 0.401851743975198 0.0993481635803642 0.579656648012754 0.443536469566594 0.396697524829166 0.743137857369403 0.33764719316195 0.239160517990251 0.224394383413024 0.00934432670813733 0.00756361091353697 0.0068170218113043 0 0.0176579664798509 0.0106269420634705 0.00480759120683229 0.00374257253212881 0.00738867110361796 0.00855637592481594 0.0111721009334092 0.0138255772807957 0.0113784294676469 0.0117055865308413 0.0072716926447794 0.014154727451362 0.0158431231385214 0.0106592604742858 0.00730793794449874 0.0109457753175925 0.0105099138007015 0.0117662137101264
"result.14" 0.0507007381163728 0.0330504410121776 0.0313988429441216 0.002 0.259867718091551 0.700071351399098 0.0234562104562105 0.823374626684137 0.0488781577899225 0.0376185203685204 0.0435442751692752 0.479565024974793 0.498613240014821 0.473632210011045 0.153985411897059 0.642707363647113 0.543950242930677 0.462617992816194 0.794200868510833 0.393906482475809 0.28963902294041 0.280180881659792 0.0070133818038551 0.00507656664657272 0.00515542092699056 0.002 0.0169678864081245 0.0112973344767464 0.00438340692597893 0.00381197550902076 0.00658220355375625 0.00707947892876235 0.00782923600154877 0.012873657369854 0.0109835405252758 0.0109188224885592 0.00719569199531443 0.0147487068408855 0.0132836906924745 0.0113699382553815 0.0098925285960213 0.00994273031870018 0.0108449055529684 0.0103697264841883
"result.15" 0.0523225715139768 0.0426740300587723 0.0449694078561692 0.00758766233766234 0.283307896244576 0.691494306395167 0.0304384048315096 0.828840109363203 0.0448094416893885 0.0402429690192848 0.0452591126194067 0.545444231141462 0.576649781346884 0.562237515636204 0.208475306558919 0.710829258176524 0.603140485072135 0.524239063627109 0.80897425344814 0.476958099863193 0.361053191319221 0.343641867771536 0.00533281388000407 0.00586696706782884 0.00604943620327619 0.00346031416948431 0.0156267558304961 0.0101943096674005 0.00530304086817461 0.00344404522793865 0.00605419451634198 0.00708665239874761 0.00788563635535194 0.013659348382009 0.0125227301581606 0.0123676874955669 0.00982464639284206 0.0128181564594189 0.0130884550542653 0.0125374812590531 0.00809623867539911 0.0119272141832558 0.0134705590653868 0.0136770915186477
"result.16" 0.0364408650027677 0.0246260811198892 0.0220800517982339 0.00166666666666667 0.250766580540614 0.664572335389574 0.0288942514737373 0.825807461965769 0.0456353605395367 0.0528763081174072 0.0660532698295856 0.586435736429679 0.622884654665175 0.598612170547063 0.27405641769555 0.747177898989418 0.668399172527617 0.582443882922658 0.824577266270546 0.52381596902674 0.430769423372909 0.412565694679881 0.00557542493677812 0.00404653733881597 0.00411538454718517 0.00166666666666667 0.0145006355639279 0.0106749733724626 0.00466691729397438 0.00318222525096797 0.00556633830731516 0.00683348981342129 0.0076115983816457 0.0133530099760937 0.0119762301625468 0.0117136109049296 0.0116142194169221 0.0133301944717268 0.0133336250602397 0.0121958751820693 0.00776696479318836 0.0107544056295514 0.0125495926217012 0.0124802746466431
"result.17" 0.0463602906869273 0.0351647985884815 0.0354778343688028 0.00226655697243933 0.271616456563245 0.657720449143786 0.0341865519378644 0.823437062327002 0.0480236601341143 0.056202989949507 0.0523850234303021 0.636984207207132 0.669665009154584 0.651241450346712 0.331897670445873 0.76297971628228 0.704677198028575 0.623485999745364 0.840698979293897 0.563855917200495 0.474655940687593 0.455835549824275 0.00550918920125105 0.00492415949289757 0.00482207902175721 0.00131533696319349 0.0147055246442758 0.0116978845260591 0.00446220855864553 0.00362725048296782 0.00640074332264352 0.00743335436006399 0.00714051177262261 0.0127939473865609 0.0105118199563409 0.0104627683648192 0.0119409719433595 0.0128712934150556 0.0124710160525698 0.0111112599036145 0.00791286887562243 0.0119128382193395 0.0137159619219395 0.0125181040945321
"result.18" 0.0401054760996152 0.0290290414414887 0.0302640177562604 0.00480769230769231 0.256166039786911 0.6664665463846 0.0365153859766002 0.819308576434368 0.0482070377872976 0.0440250370824641 0.0445863997823716 0.665363864458036 0.683381536410977 0.664557748191269 0.353454038339925 0.789575678633772 0.723043189649724 0.643040792676369 0.858461382599425 0.592858320697393 0.504279159601855 0.488313975101685 0.0051751547993425 0.00510593427027608 0.0050233836429218 0.00288137606255526 0.0152860467408313 0.0119928607700852 0.00539196662038835 0.00313170593191752 0.00623514612946084 0.00608658493529979 0.00619971346980441 0.0101639103980747 0.00829902195250068 0.00900051738513068 0.0113211560754995 0.0103952563924454 0.0123941374918789 0.00867236333263309 0.00680696184435089 0.00985632189308044 0.0109123380409932 0.0104256383690761
"result.19" 0.0382868191714849 0.028365710053113 0.0324787362732431 0.003003108003108 0.164300588243072 0.490698791000123 0.0749683513853278 0.6468234175533 0.0477901410776681 0.043415261267676 0.045650812536936 0.478113345534828 0.508190578615046 0.490326567240539 0.0886735104334884 0.596331934319521 0.395585079844919 0.410731641892 0.74424937521981 0.401566320232856 0.324451053659627 0.316653669440269 0.00336831474940764 0.00289948077162746 0.00329537393657111 0.00150028065797932 0.00776976230092031 0.0152849370944709 0.00456999496294749 0.00318666138908079 0.0037706353949418 0.0040650236860682 0.00434906083231853 0.00907932987062053 0.00572938015969243 0.00569186877544411 0.0037816288902321 0.00817238063137865 0.0124652470136503 0.00561008234075279 0.00426285262229287 0.00567961656384705 0.00800927136340061 0.00811717970798585
"result.20" 0.0357069969767971 0.03055628180426 0.0279523165153357 0.00424218426501035 0.16897049017535 0.522284101384795 0.103796091089926 0.654635383175679 0.0518259533444821 0.0407011252632251 0.0402590202664685 0.561620504738555 0.589825358814104 0.569584746200081 0.156739216742558 0.672879189291731 0.452253037372928 0.47741289587076 0.774007711732839 0.478448440328761 0.390700697544433 0.377173597318589 0.00300402234316963 0.00304011313190482 0.00297837688205896 0.00190995687718808 0.00779582112136451 0.0148044911787722 0.00591653839833558 0.00369276856553376 0.00349248569238974 0.00304872055467862 0.0031639988671452 0.00894095739277093 0.0059708329759435 0.00575738970581655 0.00510333282401591 0.00676244849076691 0.0118122242048321 0.00494595107561492 0.00423683534299189 0.00540080091168667 0.00743545110761896 0.00784195214794845
"result.21" 0.0413562742291844 0.0269379544568381 0.0310619620825407 0.00429723672461277 0.180325743942103 0.532879493071537 0.124571960667748 0.658719759760671 0.056524961868056 0.0443741896159209 0.0449116071322312 0.604605316099571 0.651785703937949 0.627940162073929 0.213204928856928 0.725547582184148 0.510733917193369 0.529237670491933 0.787692011999947 0.532847151893513 0.447625110834488 0.435999375837824 0.00289293945032822 0.00192408324243871 0.00224916865110163 0.00142957345489071 0.00630782760471238 0.0147595416517034 0.00536589687497719 0.00269583034652703 0.00293874856069476 0.00307211570582206 0.00329063506417484 0.00968701111579225 0.00572863767863799 0.00573667850188188 0.00513240550894722 0.00580785362823657 0.0102150084105084 0.00554317183417586 0.00387826229360331 0.0057249713547366 0.00737632957773215 0.00784237667083291
