"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20" "V21" "V22" "V23" "V24"
"result.14" 0.0326842880058824 0.0494025513733193 0.037862332009236 0.0370509591018378 0.0361967579414847 0.0445183918841255 0.708032810647785 0.688208936853783 0.666268000523055 0.677554708588989 0.679994616712764 0.683923546235994 0.00407548779906845 0.00579040798602343 0.00547386938297441 0.00506356586523378 0.00481094292697794 0.0055742756451892 0.0103465138754625 0.0100120260745006 0.0120200480766455 0.01171616472122 0.0113859185072275 0.0101996097932958
"result.15" 0.0368259211055703 0.058333385511666 0.0379614490279983 0.0371685420494728 0.0487990832654424 0.0540246200847386 0.743001861087914 0.731703151270084 0.713395246549571 0.718496690471952 0.718075151891174 0.720458105394743 0.00456483595406044 0.0064617322796418 0.00484140610822945 0.00504422388368423 0.00580136533717459 0.00605741602062559 0.0100393584532305 0.00977690701855963 0.0107277225451006 0.0104324209963322 0.0102934243452523 0.00995624235186792
"result.16" 0.0466010293900837 0.0762194048342916 0.0449465805106628 0.0481430789603014 0.0501883670262116 0.0779412527764191 0.798921758980198 0.784075169214268 0.773448811317736 0.77382074312555 0.7757086256821 0.779654942686753 0.00420906193540679 0.00700959437673268 0.00613203523760578 0.0062033314010386 0.00556082940839794 0.00790490762061191 0.00721529213439292 0.00711249101287442 0.00769161371413498 0.00776875955947633 0.00774880038023078 0.00693047822263684
"result.17" 0.0482947694320537 0.0758738082823594 0.0567453506380402 0.0633081690717771 0.0608128197300747 0.0782562699732753 0.812336885240003 0.797032978848811 0.782966716270827 0.793259638407119 0.794543390303073 0.790726478219803 0.00488148460658683 0.00782138267291047 0.00544251125409052 0.00670699049802837 0.00634581382910156 0.00942878234126447 0.00852755026504238 0.00852356813711683 0.0101463458641112 0.00930646546449017 0.00902199847770402 0.00877431196629294
"result.18" 0.047120385934924 0.0666784472609011 0.0532774296238369 0.0548323774146468 0.0588637048664829 0.0634354528632026 0.831220596506968 0.823873512140701 0.809211745520645 0.813039391740876 0.817009892049249 0.818523321900608 0.0050195364381097 0.00598069313672863 0.00621801108788878 0.00588624945018954 0.00671485804717203 0.00637821119747031 0.00843762125219676 0.00816993191381367 0.00944841854479068 0.00910430134545553 0.00893512378045414 0.0083188917070605
"result.19" 0.0356039761408592 0.174207584846361 0.0419207988047763 0.0535427475336736 0.0641151178272948 0.176164831541755 0.692341603303967 0.607237249885074 0.643798793738243 0.631316211598531 0.615541719902703 0.605844066186273 0.00219875479739312 0.00883549025168567 0.00305595597746202 0.00392472237312074 0.00478042023581185 0.0109312423699437 0.00534601845770803 0.00518088655772722 0.0074446380341185 0.00704174734907286 0.006585655465392 0.00502524660075643
"result.20" 0.0394325376262406 0.228540492569626 0.0515262670970434 0.0708748241888812 0.0812135391375382 0.230501354523874 0.740968919076325 0.67671439512779 0.697819939935445 0.68676163895253 0.678591731801796 0.675573382224694 0.00232899528161482 0.0101597500763331 0.00430369384535338 0.00558233750268921 0.00599652119542764 0.011891197397699 0.00561954301117406 0.00521751787721779 0.007766335932808 0.00755539620439083 0.00665758106940023 0.00518136494140114
"result.21" 0.0396056215389884 0.295967693763231 0.0483915933380167 0.0691872577060001 0.0885984508320212 0.310494803346132 0.794307769858847 0.740381070679047 0.763768788482491 0.751505464043661 0.743761114396877 0.74094549222928 0.00231154992343839 0.00978065145885685 0.003485975583109 0.00534435726084954 0.00513070471053805 0.012679764673909 0.00439707394886626 0.00444991780386882 0.00559058574594265 0.0051516111139436 0.00488082941600545 0.00462990130917129
"result.22" 0.0372641176954152 0.308280691492673 0.0651775321343656 0.0946105370745362 0.109909081884391 0.321968931968412 0.804105038755933 0.756805214213398 0.768795055673561 0.759231892690573 0.75421091468442 0.758282427246801 0.00232709831416467 0.0107152121342125 0.0056568084840174 0.00729899676762144 0.00743371097232092 0.0133649714011162 0.00478127446628814 0.00476287180770109 0.00587538015274952 0.00565497445077598 0.00526990716510966 0.00477579193891487
"result.23" 0.0430540527082131 0.347465532869211 0.0776066609522124 0.111594528347309 0.131336431889777 0.356444216450941 0.834774493596754 0.79344130623132 0.803758426651104 0.791040190536989 0.785505873479257 0.790903363388969 0.00270520911717954 0.0117129825287779 0.00680776738509351 0.00844448807047778 0.00844712625675297 0.0144935816366457 0.0048405129205526 0.00473179134016365 0.00580081784728072 0.00538333683901328 0.00492128110338321 0.00507109695173948
"result.24" 0.0411421429412974 0.414948794187705 0.078139724911098 0.113693321267355 0.133889810428159 0.430573645572145 0.854552922862326 0.813033433746066 0.825860688037121 0.810777914178036 0.806178402695038 0.813096007014217 0.00243130442610979 0.0109131549430904 0.00728936993287021 0.00832307690812783 0.00903744506230773 0.012490014837703 0.00393735530096115 0.00404177283930315 0.00479313722746874 0.00465480263324276 0.00429905905784518 0.00412419702968222
